1.1,Epithélioma développé sur Lupus,"Cire dermatologique (moulage) - support de cours de dermatologie ; 1924, auteur : Hermann-Werner Graf"
1.2,Pemphigus foliace,"Cire dermatologique (moulage) - support de cours de dermatologie ; 1892, auteur : Jules Baretta"
1.3,Folliculites agminées. Kerion,"Cire dermatologique (moulage) - support de cours de dermatologie ; entre 1891-1925, auteur : Jules Baretta"
1.4,Lèpre tuberculeuse,"Cire dermatologique (moulage) - support de cours de dermatologie ; entre 1891-1925, auteur : Jules Baretta"
1.5,Morphée de sein,"Cire dermatologique (moulage) - support de cours de dermatologie ; entre 1891-1925, auteur : Jules Baretta"
1.6,Keratodermie plantaire,"Cire dermatologique (moulage) - support de cours de dermatologie ; entre 1891-1925, par Jules Baretta"
1.7,Mycosis fongoïde,"Cire dermatologique (moulage) - support de cours de dermatologie ; entre 1891-1925, auteur : Jules Baretta"
1.8,Ulcération arsenicale,"Cire dermatologique (moulage) - support de cours de dermatologie ; entre 1891-1925, auteur : Jules Baretta"
1.9,Instruments de chirurgie ophtalmique,"Instruments de chirurgie ophtalmique; première moitié du XX siècle; Weiss & Son, Oxford st. London (fabricant)"
1.10,Ophtalmoscope,Instrument de diagnostic ophtalmique; première moitié du  XX siècle
2.1,Lunettes d'essai,Instrument de diagnostic ophtalmique; XX siècle; Oculus (fabricant)
2.2,Lot de lunettes,Dispositifs optiques correcteurs de vision; XX siècle
2.3,Ophtalmoscope,Instrument de diagnostic ophtalmique; seconde moitié du XX siècle
2.4,Ophtalmodynamomètre,Instrument de diagnostic ophtalmique; XX siècle
2.5,Scotomètre,Instrument de diagnostic ophtalmique; XX siècle
2.6,Coffret pour le nettoyage du canal lacrymal,Instruments de soins ophtalmiques ; XVIII siècle [?]
2.7,Matériel pour les accouchements à domicile,Instruments d'obstétrique ; fin du XIXème siècle
2.8,Spéculum,Instrument de diagnostic gynécologique ; vers 1500
2.9,Pelvimètre,Instrument de mesure en obstétrique ; 1500 à 1700 [?]
2.10,Forceps,Instrument d'obstétrique ; autour de 1800 [?] ; Peter A Zurich (fabricant)
3.1,Pessaires,Dispositif gynécologique ; XX siècle
3.2,Sondes utérines,Instruments de gynécologie ; XX siècle
3.3,Mandrins,Instruments de gynécologie ; XX siècle
3.4,Tire-lait ou pompe à lait,Matériel obstétrique ; XX siècle
3.5,Coffret pour hystérosalpingographie,Instruments de diagnostic gynécologique ; XX siècle
3.6,Masque d'anesthésie,Dispositif pour anesthésie; XX siècle
3.7,Masque d'Ombredanne pour anesthésie,Dispositif pour anesthésie; XX siècle
3.8,Flacon à chloroforme,Dispositif pour anesthésie; XIX siècle; XX siècle
3.9,Masque d'anesthésie,Dispositif pour anesthésie; XIX siècle; XX siècle
3.10,Trousse de chirurgie ambulatoire,Instruments de chirurgie générale; XX siècle
4.1,Villebrequin,Instrument de chirurgie générale; XX siècle
4.2,Scie chirurgicale,Instrument de chirurgie générale; XX siècle
4.3,Thermocautère,Instrument de chirurgie générale; XX siècle
4.4,Instrument de chirurgie?,en attente d'informations
4.5,Pince pour préhension de l'intestin,Instrument de chirurgie générale; XX siècle
4.6,Lithotome à écartement,Instrument de chirurgie générale; XIX siècle
4.7,Stéthoscope monaural,Instrument de diagnostic; XIX siècle; XX siècle
4.8,Sphygmographe de Dudgeon,Appareil de diagnostic; 1882-1900
4.9,Sphygmomanomètre Sahli,Appareil de diagnostic; XX siècle
4.10,Uromètre,Appareil de diagnostic; XX siècle
5.1,Dynamomètre,Appareil de diagnostic; XX siècle
5.2,Marteau à réflexes Taylor,Instrument de diagnostic; XX siècle
5.3,Marteau à réflexes,Instrument de diagnostic; XX siècle
5.4,Abaisse-langue,Instrument de diagnostic; XX siècle
5.5,Abaisse-langue,Instrument de diagnostic; XX siècle
5.6,Stéthoscope monaural,Instrument de diagnostic; XIX siècle; XX siècle
5.7,Set d'instruments de dentisterie,Instruments de dentisterie; XX siècle
5.8,Pélican dentaire,Instruments de dentisterie pour extraction; XVIII siècle
5.9,Clé dentaire,Instruments de dentisterie pour extraction; XIX siècle
5.10,Elévateurs de racines et pousse-amalgame,Instruments de dentisterie; XX siècle
6.1,Set pour digue dentaire,Dispositif de dentisterie; XX siècle
6.2,Aspire-salive,Appareil de dentisterie; XX siècle
6.3,Daviers dentaires,Instrument de dentisterie; XX siècle
6.4,Porte-empreinte,Instrument de dentisterie; XX siècle
6.5,Amygdalotome,Instrument d'ORL; XX siècle; 1950-1970
6.6,Amygdalotome,Instrument d'ORL; XX siècle;
6.7,Miroirs laryngiens,Instrument d'ORL; XX siècle;
6.8,Lampe d'éclairage,ORL; XX siècle
6.9,Pipe de Ticchioni,Dispositif d'ORL; XX siècle
6.10,Spéculum nasal de Fränkel,Instrument de diagnostic ORL; XIX siècle; XX siècle
7.1,Le Thermogène - ouate révulsive,Pharmacie; XX siècle
7.2,Trousse de pharmacie,Pharmacie; XX siècle
7.3,Trousse de pharmacie homéopathique,Pharmacie; XIX siècle
7.4,Pilulier,Pharmacie; XIX siècle
7.5,Pilon,Pharmacie; XX siècle
7.6,Poudres KAFA,Pharmacie; XX siècle
7.7,Boîte de coton chirurgical,Pharmacie; XX siècle
7.8,Cachets Kalmine,Pharmacie; XX siècle
7.9,Boîte de préparation pharmaceutique,Pharmacie; XX siècle; 1935
7.10,Epanal Un,Pharmacie; XX siècle
